global_idx,file_idx,config_idx,dphase_x_deg,dphase_y_deg,rmse_db,mae_db,max_abs_err_db,pearson_r,peak_dir_err_deg
415,9,15,46.878872,-122.060742,0.1655629426240921,0.11859915405511856,2.6031036376953125,0.999830827985656,1.000146508216858
417,9,17,-95.876927,-143.427744,0.2716694474220276,0.19121190905570984,5.556880950927734,0.9995234156815834,0.0
431,9,31,11.78549,-124.136474,0.19211414456367493,0.13176238536834717,4.361225128173828,0.9998013382927076,0.6016591787338257
434,9,34,36.1569,138.317277,0.1918354034423828,0.13527065515518188,3.995067596435547,0.999781667584823,0.0
440,9,40,-22.990736,5.6642,0.21032215654850006,0.1406591236591339,4.538204193115234,0.9998552960981711,2.4673585891723633
450,10,0,21.362737,120.192311,0.17968739569187164,0.12326906621456146,2.606525421142578,0.9998061451028133,1.7632521390914917
451,10,1,122.254549,-17.955081,0.1975918710231781,0.14439287781715393,1.966278076171875,0.9997836738556286,2.1898157596588135
471,10,21,125.055484,-130.644588,0.2093968391418457,0.16268640756607056,2.3401870727539062,0.9996840071431932,1.000146508216858
484,10,34,-110.327487,135.693944,0.20920826494693756,0.15264734625816345,5.940853118896484,0.9996500116997835,1.999977707862854
487,10,37,104.49911,-162.588504,0.31394365429878235,0.2260732650756836,3.804534912109375,0.9992769721124228,0.9999507665634155
497,10,47,-98.329205,-141.833427,0.26417356729507446,0.18898731470108032,4.4357757568359375,0.9995324683666301,1.289374589920044
504,11,4,-139.455436,43.559394,0.19841307401657104,0.13797429203987122,3.7259674072265625,0.9997727043346036,1.7619197368621826
505,11,5,-42.372675,-148.10975,0.19702111184597015,0.1429910510778427,4.2331390380859375,0.9997567945432161,1.7219239473342896
522,11,22,88.884368,89.232079,0.23685654997825623,0.1608259677886963,3.6699676513671875,0.9996747751451109,1.1853117942810059
532,11,32,-53.461593,84.095604,0.23192408680915833,0.15307068824768066,3.456157684326172,0.9997011835610282,0.0
534,11,34,126.238866,9.692671,0.19052249193191528,0.1393396109342575,2.923309326171875,0.9997767375868182,1.1923896074295044
541,11,41,-66.36099,-65.862781,0.21596013009548187,0.14558561146259308,3.560131072998047,0.9997760189087076,2.0579495429992676
554,12,4,55.85189,80.095154,0.23527751863002777,0.14703619480133057,6.865009307861328,0.9997107065675819,1.4034662246704102
559,12,9,8.453371,-146.503448,0.2202407866716385,0.15100786089897156,5.8260040283203125,0.9997417354623945,1.2069071531295776
567,12,17,98.958563,-134.012723,0.19602693617343903,0.14781107008457184,3.2390670776367188,0.9997592748272077,1.27625572681427
569,12,19,-36.340012,-163.574412,0.22294960916042328,0.168390154838562,2.6964569091796875,0.9996979778761745,1.000146508216858
570,12,20,79.155138,166.077019,0.2374945878982544,0.16905172169208527,3.2921981811523438,0.9996506200764641,1.301910400390625
571,12,21,156.494616,-74.677144,0.2191312313079834,0.15985755622386932,6.294563293457031,0.99973329777455,1.999977707862854
574,12,24,164.148758,156.471497,0.5023837089538574,0.34126344323158264,8.657752990722656,0.9974745235014261,1.3743005990982056
626,13,26,34.226335,166.472447,0.2077057659626007,0.14433473348617554,2.9886016845703125,0.999699936420867,3.0947792530059814
628,13,28,-13.999048,29.389429,0.22737671434879303,0.1452787220478058,3.8037185668945312,0.99981736159173,0.6946433186531067
640,13,40,-138.949918,77.545189,0.217606782913208,0.15391035377979279,3.8089218139648438,0.9996374431286953,2.5327320098876953
641,13,41,-64.684873,-145.296367,0.2067592889070511,0.1441878229379654,3.072032928466797,0.9997409980171164,2.1294596195220947
666,14,16,60.718965,109.979283,0.22067894041538239,0.14439429342746735,4.230426788330078,0.9996994644097263,1.1705266237258911
668,14,18,-18.871587,166.458927,0.18690276145935059,0.13021880388259888,3.41729736328125,0.9997970205161744,1.000146508216858
669,14,19,-76.23072,-70.894392,0.2342289388179779,0.16265590488910675,3.4317169189453125,0.9997194892924804,2.5268518924713135
678,14,28,95.454789,20.717698,0.22370374202728271,0.1501970887184143,3.088275909423828,0.9997344607764588,1.0300261974334717
681,14,31,-13.680521,-178.910586,0.23072509467601776,0.1634262651205063,8.26498031616211,0.999681965133436,1.927727460861206
687,14,37,10.130827,-106.993849,0.21275432407855988,0.13366715610027313,9.283363342285156,0.9997562110955475,2.0652592182159424
705,15,5,-32.002282,-67.016367,0.21683478355407715,0.14344492554664612,4.467857360839844,0.9997845651263713,0.9999507665634155
717,15,17,-110.638839,-48.549059,0.2745469808578491,0.17954891920089722,6.332263946533203,0.9995934978277046,1.1853117942810059
729,15,29,-20.747441,-63.063941,0.21364697813987732,0.1429271697998047,4.666187286376953,0.9998087717494779,0.6841413378715515
758,16,8,127.492179,19.497028,0.18646468222141266,0.13603678345680237,4.437065124511719,0.9997845293882511,1.660007357597351
772,16,22,-36.705208,42.08766,0.19102762639522552,0.12977516651153564,3.0154266357421875,0.9998560762548234,1.1501203775405884
796,16,46,-13.418494,128.051075,0.18651534616947174,0.12552282214164734,6.105159759521484,0.9998084025990542,1.2309876680374146
828,17,28,-10.536238,44.705957,0.2220103144645691,0.13953916728496552,4.727161407470703,0.999819307354117,1.1034035682678223
844,17,44,-37.46892,102.025509,0.23241543769836426,0.15161944925785065,4.237434387207031,0.9997103842229724,1.0598021745681763
860,18,10,-6.204367,127.434473,0.17928436398506165,0.12306477874517441,2.4522056579589844,0.9998374521042619,0.6151669025421143
861,18,11,-139.681055,-130.168203,0.2570529878139496,0.19147604703903198,5.578529357910156,0.9993874765830749,1.3255939483642578
875,18,25,62.738752,-44.091961,0.26089048385620117,0.16363674402236938,5.541542053222656,0.999719153098081,1.2591211795806885
882,18,32,13.944815,74.107592,0.2164487987756729,0.14249782264232635,3.0468711853027344,0.9997811987719007,1.5222569704055786
894,18,44,98.724518,83.630948,0.19176018238067627,0.1343708634376526,5.986289978027344,0.9997769803085772,1.1923896074295044
904,19,4,-164.74331,38.844485,0.24865925312042236,0.17352868616580963,3.7262420654296875,0.9996505072190567,0.7878302335739136
911,19,11,16.770538,-145.974567,0.2170891910791397,0.1502435803413391,4.949485778808594,0.9997404715080427,1.2069071531295776
915,19,15,46.528134,-16.686012,0.2463768571615219,0.15186239778995514,13.21419906616211,0.9997839134630442,2.016641616821289
929,19,29,-93.979018,-140.978515,0.2763797640800476,0.18914979696273804,11.754165649414062,0.9995167177765433,0.9997551441192627
935,19,35,70.951067,-123.280025,0.20235653221607208,0.14071381092071533,6.500431060791016,0.9997391665730783,0.6943615674972534
938,19,38,102.569299,139.142888,0.1827104538679123,0.13420943915843964,2.34100341796875,0.9997551512680328,1.289374589920044
947,19,47,146.298601,-35.527772,0.20615114271640778,0.14482825994491577,3.202007293701172,0.9997685347287556,0.7316842079162598
949,19,49,-91.525251,-0.243034,0.2521946132183075,0.1653200387954712,3.798625946044922,0.9996522660369226,1.1145201921463013
960,20,10,-130.804144,65.516195,0.1790834665298462,0.12873058021068573,2.980213165283203,0.9997679344488904,1.000146508216858
964,20,14,-125.860746,133.230577,0.20468519628047943,0.15200163424015045,4.575687408447266,0.9996130971017874,1.3140289783477783
967,20,17,69.564088,-125.675336,0.2029973715543747,0.14055800437927246,6.045505523681641,0.9997381553196346,1.000146508216858
986,20,36,74.46994,114.871556,0.20399229228496552,0.14306999742984772,4.235416412353516,0.9997390333681433,0.66910320520401
990,20,40,121.334566,87.134387,0.2471473664045334,0.15807339549064636,6.782539367675781,0.9995608878194765,1.4862208366394043
994,20,44,7.945176,174.558367,0.19311730563640594,0.14800122380256653,2.80523681640625,0.9997708433685962,2.1455745697021484
996,20,46,-87.244793,106.295435,0.19489064812660217,0.13581641018390656,3.196949005126953,0.9997355838402743,1.000146508216858
1001,21,1,-6.341163,-157.371351,0.2045658379793167,0.15108974277973175,2.6522979736328125,0.9997752680554026,1.2354307174682617
1007,21,7,4.795765,-162.849661,0.21387535333633423,0.16301900148391724,2.3007850646972656,0.9997753030389457,1.7816909551620483
1021,21,21,-142.823942,-117.301192,0.2176428735256195,0.16685369610786438,4.1327972412109375,0.9996311047782018,0.8481143116950989
1022,21,22,111.228112,101.961224,0.20114561915397644,0.14511547982692719,5.40472412109375,0.9997037859783342,1.999977707862854
1038,21,38,57.566563,34.873993,0.21512438356876373,0.13397759199142456,6.571750640869141,0.9998053475853982,2.3854830265045166
1047,21,47,103.244225,-126.738965,0.19226650893688202,0.14824020862579346,1.8560371398925781,0.9997515034271036,0.7878302335739136
1054,22,4,40.505233,29.515683,0.2098848819732666,0.13798099756240845,5.179710388183594,0.9998286289178758,1.2814582586288452
1064,22,14,-74.085714,2.867945,0.21714793145656586,0.14610889554023743,3.2545738220214844,0.9997922234126844,0.7491267919540405
1080,22,30,-130.786209,35.090073,0.19869911670684814,0.1412445455789566,4.363155364990234,0.9997720293851263,2.3282651901245117
1087,22,37,42.164812,-137.033675,0.1855645775794983,0.13440586626529694,3.725391387939453,0.9997958793866164,1.2140202522277832
1094,22,44,76.443136,23.543783,0.21486103534698486,0.145538330078125,3.5861968994140625,0.9997838370654647,2.0377845764160156
1102,23,2,83.345082,43.521264,0.2716021239757538,0.158333420753479,9.855293273925781,0.9996550096881504,1.10145103931427
1105,23,5,-44.00768,-47.725264,0.23617194592952728,0.14773187041282654,7.112903594970703,0.9997635924183261,3.0803232192993164
1111,23,11,63.528121,-69.410376,0.24635528028011322,0.15794795751571655,7.5921478271484375,0.9997130754686804,0.01978234015405178
1114,23,14,30.456581,48.960558,0.2221004068851471,0.13153350353240967,7.407886505126953,0.9997993190279459,1.5636043548583984
1127,23,27,59.525412,-89.368365,0.27732953429222107,0.1753966361284256,3.2716140747070312,0.9995926777837564,1.0598021745681763
1131,23,31,91.173258,-63.02919,0.2946963608264923,0.16440491378307343,8.084430694580078,0.9995189498040812,2.0084731578826904
1136,23,36,-122.935434,96.079021,0.1958773285150528,0.1424156278371811,2.1473541259765625,0.9997002253081426,3.102991819381714
1147,23,47,159.693109,-89.335978,0.25058767199516296,0.1783682107925415,8.08017349243164,0.9996529702375448,0.8287432789802551
1163,24,13,52.001807,-50.240449,0.24135929346084595,0.15242858231067657,9.483657836914062,0.9997618911273229,1.2396999597549438
1166,24,16,36.73418,22.844142,0.2108297199010849,0.14214789867401123,8.796638488769531,0.9998389341325578,1.1920613050460815
1181,24,31,-50.018359,-45.217463,0.23318608105182648,0.1469205617904663,4.834590911865234,0.9997775246630517,1.4149919748306274
1184,24,34,-173.873666,124.933665,0.39387843012809753,0.28807350993156433,7.134620666503906,0.9988464210378301,2.08890962600708
1194,24,44,132.539394,177.50835,0.6567400693893433,0.46383732557296753,12.468582153320312,0.9968459452692784,0.9999507665634155
1198,24,48,151.068483,75.695124,0.25954070687294006,0.1690799742937088,10.146247863769531,0.9995572415748701,0.9997551441192627
1209,25,9,-32.726554,-125.539342,0.16470442712306976,0.11301662027835846,2.910816192626953,0.9998306319330393,1.2309876680374146
1214,25,14,72.169239,69.248668,0.23408378660678864,0.15191000699996948,7.051784515380859,0.9997372970079325,1.4034662246704102
1224,25,24,-124.017467,15.924045,0.20103397965431213,0.13559837639331818,5.142677307128906,0.9997472951310166,2.000075578689575
1232,25,32,-86.28704,76.287712,0.3697299659252167,0.17525547742843628,9.195674896240234,0.9992018958849874,3.0555648803710938
1262,26,12,147.388732,69.98761,0.2459721863269806,0.16768929362297058,4.396106719970703,0.999611774574194,1.2697995901107788
1283,26,33,162.595721,-35.894501,0.2412208467721939,0.1707034558057785,4.618690490722656,0.9996751121134821,2.2981433868408203
1290,26,40,98.440425,103.019519,0.23351262509822845,0.14803101122379303,10.217525482177734,0.9996457402092279,0.7072058320045471
1299,26,49,78.53515,-27.015984,0.2530919015407562,0.15839163959026337,5.852027893066406,0.9997122783850731,1.0887641906738281
1324,27,24,-60.132125,175.407481,0.21098563075065613,0.15771839022636414,3.3348159790039062,0.9997352114547227,1.3140289783477783
1350,28,0,123.996547,43.204707,0.23173604905605316,0.1551634967327118,6.002227783203125,0.9997273254635404,1.000146508216858
1374,28,24,120.017983,89.357356,0.27936211228370667,0.1647007167339325,8.76253890991211,0.999446580798208,0.0
1375,28,25,24.577654,-72.540162,0.21563121676445007,0.13820211589336395,9.876628875732422,0.9997813351240175,1.0706405639648438
1377,28,27,-95.069069,-164.647152,0.26947832107543945,0.20022037625312805,8.56954574584961,0.999590529561491,0.0
1378,28,28,5.690524,94.842719,0.1984202265739441,0.12891460955142975,2.1419944763183594,0.9997956234426993,0.01978234015405178
1387,28,37,135.835531,-100.911325,0.1978861540555954,0.14645805954933167,3.8773651123046875,0.9997317796398121,2.426886558532715
1399,28,49,43.128792,-54.379327,0.2132882922887802,0.1409737467765808,5.725833892822266,0.9998198580527032,1.000146508216858
